Randolf wears one skirt and that mother of Marcus wears at least as many white skirt . <eos>	[5.545644283294678, 5.360159873962402, 3.824857234954834, 3.703824281692505, 3.3856468200683594, 4.1902618408203125, 5.244014739990234, 4.79781436920166, 4.682974815368652, 4.635748863220215, 3.826127529144287, 3.628366470336914, 3.976667881011963, 3.8903801441192627, 3.6910829544067383, 5.362729072570801, 5.204218864440918, 3.2731477972447465e-07]	[2.5537118911743164, 12.572961807250977, 5.85637092590332, 7.462353706359863, 1.9780340194702148, 6.042078018188477, 9.985713958740234, 4.677675247192383, 10.605684280395508, 6.514888763427734, 6.200111389160156, 2.110757827758789, 4.416969299316406, 1.8904657363891602, 5.7169599533081055, 10.74337387084961, 3.746835708618164, -0.0]	Randolf wears one lost skirt and that mother of Marcus wears at least as many white . <eos>	[4.988274574279785, 6.399275302886963, 3.515080690383911, 3.3686318397521973, 6.31859016418457, 3.1178083419799805, 4.8673553466796875, 4.990665435791016, 4.548535346984863, 4.960442543029785, 4.512235641479492, 3.6100552082061768, 3.612131118774414, 3.931741237640381, 3.7935197353363037, 3.731729030609131, 5.253116607666016, 3.2694947549316566e-07]	[2.94036865234375, 10.342098236083984, 5.645769119262695, 13.26891803741455, 6.425250053405762, 1.562154769897461, 6.031633377075195, 10.288707733154297, 5.12602424621582, 10.442404747009277, 6.171710014343262, 6.3231611251831055, 1.8826847076416016, 4.194738388061523, 1.915151596069336, 6.064199447631836, 5.1593475341796875, -0.0]
Jacqueline could n't disgust one dentist and Elaine could n't disgust a few happy dentist . <eos>	[4.9894609451293945, 4.686419486999512, 2.783351182937622, 5.157757759094238, 4.241186141967773, 3.036867618560791, 3.0964202880859375, 5.730987548828125, 5.350975036621094, 3.8411741256713867, 4.948391914367676, 4.142855644226074, 5.326974868774414, 5.0178303718566895, 4.652291774749756, 4.559450149536133, 2.758446555617411e-07]	[11.892499923706055, 8.837896347045898, 3.279804229736328, 12.80439567565918, 6.712747573852539, 13.453165054321289, 2.156003952026367, 9.80860710144043, 4.803737640380859, 2.299382209777832, 11.855695724487305, 5.043282508850098, 5.1425018310546875, 8.960214614868164, 11.557554244995117, 1.4143991470336914, -0.0]	Jacqueline could n't disgust one displeased dentist and Elaine could n't disgust a few happy . <eos>	[4.9907546043396, 4.687957763671875, 2.782010078430176, 5.156980514526367, 4.242119312286377, 3.0379059314727783, 4.500177383422852, 2.786158561706543, 6.21073579788208, 5.7153825759887695, 4.006987571716309, 5.04893684387207, 4.4578633308410645, 5.296987533569336, 5.062750339508057, 4.680495262145996, 2.907491420955921e-07]	[11.883817672729492, 8.83027458190918, 3.2757205963134766, 12.804811477661133, 6.712684631347656, 13.477828979492188, 14.819243431091309, 1.467219352722168, 9.24925422668457, 5.776325225830078, 2.5775909423828125, 11.915834426879883, 4.9581298828125, 5.034336090087891, 9.083484649658203, 5.37523078918457, -0.0]
Many teenagers drive to one hill and Sarah 's tutors drive to some yellow hill . <eos>	[4.986738204956055, 5.7852678298950195, 5.032177925109863, 4.201324462890625, 5.139196395874023, 4.419888973236084, 3.5402274131774902, 5.80332088470459, 5.48519229888916, 6.622307300567627, 5.217100143432617, 3.7690460681915283, 4.311546325683594, 4.60347318649292, 6.01283073425293, 4.373933792114258, 2.857373715414724e-07]	[5.54545783996582, 9.827102661132812, 9.120763778686523, 2.5626487731933594, 5.109289169311523, 9.788771629333496, 2.8224058151245117, 13.724813461303711, 2.2482824325561523, 10.924063682556152, 6.850576400756836, 2.1697940826416016, 5.774231910705566, 11.454614639282227, 6.997377395629883, 1.7180557250976562, -0.0]	Many teenagers drive to one rough hill and Sarah 's tutors drive to some yellow . <eos>	[4.993373870849609, 5.780975341796875, 5.0330963134765625, 4.202428340911865, 5.139238357543945, 4.419877052307129, 5.932394504547119, 3.7492709159851074, 5.975841999053955, 5.608552932739258, 6.801203727722168, 5.202691078186035, 3.818904399871826, 4.699399948120117, 4.833373546600342, 6.112152099609375, 2.8250985906197457e-07]	[5.545584678649902, 9.819942474365234, 9.11979866027832, 2.5632190704345703, 5.110019683837891, 11.706928253173828, 6.419582366943359, 2.9149303436279297, 13.815620422363281, 2.0529375076293945, 11.49865436553955, 6.990704536437988, 2.235942840576172, 5.8019256591796875, 11.03709602355957, 3.1953182220458984, -0.0]
Every lady 's father sells one drawing of and a teacher 's podiatrist sells few smooth drawing of . <eos>	[4.991559028625488, 6.174336910247803, 4.3753981590271, 5.587074279785156, 4.479607582092285, 4.34670352935791, 3.210832118988037, 3.7384729385375977, 5.663417816162109, 5.665942192077637, 5.932817459106445, 3.879281997680664, 6.368852615356445, 4.521239280700684, 5.176540374755859, 5.641141891479492, 5.9290618896484375, 5.600844383239746, 5.9760284423828125, 2.9638752607752394e-07]	[7.685426235198975, 10.62632942199707, 3.079869270324707, 5.123500823974609, 6.8336029052734375, 4.793787002563477, 8.847999572753906, 2.9476585388183594, 9.689424514770508, 2.9987049102783203, 10.605857849121094, 1.4431123733520508, 3.496692657470703, 7.008126258850098, 11.217625617980957, 13.294183731079102, 8.375463485717773, 5.058489799499512, 7.0955810546875, -0.0]	Every lady 's father sells one rough drawing of and a teacher 's podiatrist sells few smooth . <eos>	[4.988223075866699, 6.174853324890137, 4.377354621887207, 5.583859443664551, 4.480672836303711, 4.347684383392334, 3.20937442779541, 5.866085529327393, 3.3186683654785156, 4.862473487854004, 6.185281753540039, 6.758155822753906, 4.092538833618164, 6.63388204574585, 4.615151405334473, 5.19266414642334, 5.711723327636719, 5.924402236938477, 3.031362609817734e-07]	[7.678672790527344, 10.620603561401367, 3.0810470581054688, 5.124799728393555, 6.832355499267578, 4.792407035827637, 13.496574401855469, 7.527297019958496, 2.2477378845214844, 9.209478378295898, 2.9446229934692383, 9.90378475189209, 1.4562559127807617, 3.1440048217773438, 7.090681076049805, 10.95406723022461, 12.965168952941895, 5.342621803283691, -0.0]
Alan 's grandsons praise five newspaper articles and libraries praise four small newspaper articles . <eos>	[4.990048408508301, 6.257837295532227, 6.718188285827637, 4.853787899017334, 4.2439656257629395, 4.425510406494141, 4.577994346618652, 3.152935743331909, 5.742661476135254, 3.14703106880188, 4.112911224365234, 4.026610374450684, 6.104623794555664, 2.1529150009155273, 3.128140449523926, 2.70275791081076e-07]	[9.24022102355957, 3.783331871032715, 9.22038459777832, 12.621289253234863, 10.75222396850586, 10.360662460327148, 1.4084863662719727, 1.8447637557983398, 7.990237236022949, 11.658900260925293, 9.211520195007324, 7.858044624328613, 5.128320693969727, 0.3986854553222656, 1.7957830429077148, -0.0]	Alan 's grandsons praise five big newspaper articles and libraries praise four small . <eos>	[4.988086700439453, 6.2568254470825195, 6.7149553298950195, 4.853334426879883, 4.247260093688965, 4.424248695373535, 6.323400497436523, 4.909163951873779, 3.2657628059387207, 5.676177978515625, 3.258897304534912, 4.010796546936035, 4.238753318786621, 5.993596076965332, 2.8693892772935214e-07]	[9.248250007629395, 3.7835254669189453, 9.21853256225586, 12.62289810180664, 10.747838973999023, 8.295230865478516, 9.21296215057373, 2.0539236068725586, 1.8935813903808594, 7.542699337005615, 11.51595687866211, 9.773573875427246, 7.752158164978027, 8.508260726928711, -0.0]
The brother of Renee had n't brought one glacier and Brad had n't brought several new glacier . <eos>	[4.990776062011719, 7.802958011627197, 3.8409836292266846, 5.601458549499512, 5.261058807373047, 4.741493225097656, 4.6358866691589355, 3.997762441635132, 3.547377824783325, 3.5676817893981934, 5.524117946624756, 5.755892753601074, 5.290231704711914, 4.873935699462891, 3.810873508453369, 6.627485275268555, 6.541487216949463, 5.759689807891846, 3.218038102659193e-07]	[1.7134170532226562, 10.8006010055542, 0.8128519058227539, 11.622982025146484, 5.236994743347168, 8.469916343688965, 6.6759796142578125, 6.5985107421875, 16.217069625854492, 3.967209815979004, 11.251765251159668, 2.601106643676758, 5.035029411315918, 6.4726104736328125, 8.745163917541504, 4.336041450500488, 8.298904418945312, 5.379490852355957, -0.0]	The brother of Renee had n't brought one blue glacier and Brad had n't brought several new . <eos>	[4.993092060089111, 7.806447982788086, 3.8435802459716797, 5.602962017059326, 5.2619242668151855, 4.74202823638916, 4.63586950302124, 3.997516632080078, 3.547480583190918, 6.058839321136475, 3.668266773223877, 5.364400863647461, 5.72061824798584, 5.342828750610352, 4.774832248687744, 3.7481789588928223, 6.50221061706543, 6.568428039550781, 2.979102760036767e-07]	[1.715531349182129, 10.798929214477539, 0.8134517669677734, 11.624722480773926, 5.236948013305664, 8.473240852355957, 6.675283432006836, 6.599853515625, 10.458938598632812, 13.383621215820312, 3.6569786071777344, 11.900690078735352, 2.7774477005004883, 4.822395324707031, 6.6700439453125, 8.881205558776855, 4.038663864135742, 7.053684234619141, -0.0]
Allison insults one sister and Mitchell insults two out in the open sister . <eos>	[4.9918060302734375, 5.4286627769470215, 6.370847702026367, 1.7332422733306885, 2.7799227237701416, 6.137484073638916, 5.081517696380615, 5.124734878540039, 4.861708641052246, 0.8263459205627441, 3.452003002166748, 6.364775657653809, 5.756086349487305, 4.810266494750977, 2.843123638740508e-07]	[10.673273086547852, 13.022915840148926, 6.951074600219727, 8.816822052001953, 2.249950408935547, 10.476175308227539, 9.263725280761719, 6.824872970581055, 7.192122459411621, 5.820370674133301, 1.32147216796875, 6.977516174316406, 11.503257751464844, 2.7273006439208984, -0.0]	Allison insults one long sister and Mitchell insults two out in the open . <eos>	[4.993912220001221, 5.425899505615234, 6.372014999389648, 1.7322402000427246, 4.612246990203857, 3.540452480316162, 6.3506879806518555, 4.3365654945373535, 5.007086277008057, 5.054014682769775, 0.8122944831848145, 3.412679672241211, 6.421825408935547, 5.929847717285156, 3.0973441766946053e-07]	[10.669450759887695, 13.024252891540527, 6.954573631286621, 11.108694076538086, 8.611400604248047, 3.128485679626465, 9.808307647705078, 9.958053588867188, 7.3458051681518555, 7.5877180099487305, 6.012611389160156, 1.3190851211547852, 6.936005592346191, 2.494138717651367, -0.0]
Stephen buys three lakes and every man buys fewer hidden lakes . <eos>	[4.994968414306641, 5.866063117980957, 4.102381706237793, 6.021598815917969, 2.9396169185638428, 5.798480033874512, 5.978714942932129, 5.21747350692749, 4.096048355102539, 5.323579788208008, 5.507202625274658, 2.5688276290893555, 2.7221852860748186e-07]	[9.035815238952637, 10.753626823425293, 5.8688812255859375, 8.647510528564453, 1.7780017852783203, 7.740243911743164, 6.033164978027344, 7.811201095581055, 11.018019676208496, 11.977205276489258, 8.156129837036133, 1.2888412475585938, -0.0]	Stephen buys three small lakes and every man buys fewer hidden . <eos>	[4.991109848022461, 5.867063522338867, 4.101456642150879, 6.022582054138184, 6.80851936340332, 2.939952850341797, 5.824540615081787, 6.112453460693359, 5.179155349731445, 4.096441745758057, 5.554725170135498, 5.418245315551758, 2.9290802672221616e-07]	[9.054693222045898, 10.754098892211914, 5.871697425842285, 5.9611406326293945, 6.673407554626465, 1.7269859313964844, 7.910440444946289, 5.443020820617676, 7.734261512756348, 11.071352005004883, 11.513837814331055, 6.493131637573242, -0.0]
Mary 's cousins lift three convertibles and Valerie 's daughters lift two yellow convertibles . <eos>	[4.994549751281738, 6.0535783767700195, 6.793946743011475, 4.504062652587891, 2.9364044666290283, 5.527914047241211, 4.192256450653076, 6.439874172210693, 5.1375532150268555, 6.987213134765625, 4.893651008605957, 3.148153781890869, 6.2027907371521, 5.501043319702148, 4.576542854309082, 2.900970912378398e-07]	[8.600336074829102, 2.6543731689453125, 9.253758430480957, 12.9344482421875, 7.600698471069336, 3.2701072692871094, 2.241598129272461, 13.694236755371094, 1.5340919494628906, 5.612054824829102, 10.279960632324219, 5.501407623291016, 6.013620376586914, 2.4290008544921875, 2.364192008972168, -0.0]	Mary 's cousins lift three white convertibles and Valerie 's daughters lift two yellow . <eos>	[4.992679595947266, 6.053577423095703, 6.791041851043701, 4.505324363708496, 2.9337613582611084, 5.526597023010254, 5.587991714477539, 4.3832502365112305, 6.587685585021973, 5.3077592849731445, 6.721110820770264, 4.76899528503418, 3.0400068759918213, 6.061033248901367, 5.277215003967285, 2.97478095490078e-07]	[8.601272583007812, 2.6524581909179688, 9.255440711975098, 12.939011573791504, 7.600308418273926, 5.97581672668457, 2.983859062194824, 2.4411725997924805, 13.100584030151367, 1.705826759338379, 5.223474502563477, 10.447936058044434, 5.4990129470825195, 4.886452674865723, 5.738715171813965, -0.0]
Jeffrey cures many nieces of and Janice cures few big nieces of . <eos>	[4.993697643280029, 6.151508331298828, 6.033061981201172, 4.501566410064697, 2.00681209564209, 5.322105407714844, 6.6772871017456055, 3.177475929260254, 3.473987579345703, 4.465031623840332, 6.161842346191406, 2.58779239654541, 5.470803260803223, 2.851407714388188e-07]	[10.64183235168457, 14.581202507019043, 5.1358537673950195, 13.056329727172852, 3.071165084838867, 8.77696418762207, 11.393487930297852, 9.95536994934082, 14.066829681396484, 12.16228199005127, 10.290000915527344, 4.947687149047852, 8.661763191223145, -0.0]	Jeffrey cures many troubled nieces of and Janice cures few big . <eos>	[4.9846086502075195, 6.150224208831787, 6.034697532653809, 4.513503074645996, 4.97344970703125, 2.1767265796661377, 5.069527626037598, 6.220834732055664, 3.246744155883789, 3.2696385383605957, 3.8325767517089844, 6.42323637008667, 2.922274404681957e-07]	[10.64969253540039, 14.559412002563477, 5.1285552978515625, 10.220519065856934, 12.221996307373047, 5.750330924987793, 8.648431777954102, 11.37251091003418, 12.389596939086914, 14.01568603515625, 12.24392318725586, 5.4447526931762695, -0.0]
Rebecca should n't remember one grandmother of and Bruce should n't remember many good grandmother of . <eos>	[4.98939323425293, 6.192166328430176, 3.955869197845459, 4.365190505981445, 4.316257953643799, 4.746164321899414, 3.9241652488708496, 4.0226287841796875, 6.20466947555542, 3.731736660003662, 4.358544826507568, 3.9226861000061035, 3.6813840866088867, 3.551804780960083, 4.492727279663086, 3.903897285461426, 4.957690715789795, 2.764533348909026e-07]	[11.219476699829102, 9.851016998291016, 4.120330810546875, 5.0077619552612305, 6.118717193603516, 11.290029525756836, 5.031465530395508, 8.77389144897461, 12.978248596191406, 8.64628791809082, 3.3054914474487305, 4.133451461791992, 8.631366729736328, 6.540992736816406, 10.194169044494629, 4.970843315124512, 2.9353113174438477, -0.0]	Rebecca should n't remember one young grandmother of and Bruce should n't remember many good . <eos>	[4.989295482635498, 6.190496444702148, 3.954601287841797, 4.3644609451293945, 4.316099643707275, 4.74691104888916, 2.7959370613098145, 3.814011812210083, 4.361677169799805, 5.978128433227539, 3.7698769569396973, 4.582014083862305, 4.073051452636719, 4.078052043914795, 3.885847806930542, 4.541600227355957, 2.8819317776651587e-07]	[11.220709800720215, 9.844627380371094, 4.121151924133301, 5.0078229904174805, 6.118038177490234, 8.556188583374023, 10.196659088134766, 4.151970863342285, 8.857293128967285, 13.040199279785156, 8.700751304626465, 3.3051958084106445, 4.433548927307129, 8.369956970214844, 6.4689483642578125, 4.182337760925293, -0.0]
Many sketches will look like few skirts and the painting of those glaciers will look like many red skirts . <eos>	[4.992218017578125, 5.783977508544922, 4.1078314781188965, 4.670770645141602, 3.0623531341552734, 4.320134162902832, 6.739963531494141, 4.107257843017578, 6.188194751739502, 6.93263578414917, 4.2900190353393555, 5.311870574951172, 6.162384033203125, 4.788968086242676, 4.212066173553467, 2.9499826431274414, 4.0969061851501465, 6.31675910949707, 5.555837631225586, 3.873645782470703, 2.78234125516974e-07]	[5.546558380126953, 9.8922119140625, 6.557958602905273, 5.431419372558594, 1.2686281204223633, 8.792455673217773, 11.53719711303711, 2.4438390731811523, 3.841708183288574, 6.993412971496582, 3.6456518173217773, 5.4255781173706055, 14.015094757080078, 4.2062788009643555, 4.489141464233398, 0.5822525024414062, 6.106087684631348, 6.3815131187438965, 9.70654582977295, 1.4382038116455078, -0.0]	Many sketches will look like few important skirts and the painting of those glaciers will look like many red . <eos>	[4.990450859069824, 5.783576011657715, 4.108182907104492, 4.670722007751465, 3.0613632202148438, 4.321866035461426, 6.741340637207031, 5.98653507232666, 3.9827206134796143, 6.477795124053955, 7.104374885559082, 4.325006484985352, 5.247544288635254, 6.2987470626831055, 4.707011699676514, 4.13364315032959, 3.153165817260742, 4.081821441650391, 6.32211971282959, 5.58125114440918, 2.915391519309196e-07]	[5.546453475952148, 9.896142959594727, 6.556509971618652, 5.432579040527344, 1.2688570022583008, 8.793760299682617, 8.308774948120117, 11.747234344482422, 2.6831932067871094, 2.9985532760620117, 6.783027172088623, 3.795309066772461, 5.2904815673828125, 13.387044906616211, 4.598188400268555, 4.817426681518555, 0.6519565582275391, 5.95426082611084, 6.627010345458984, 4.781608581542969, -0.0]
Renee ca n't explore one movie theater and Gary 's colleague ca n't explore at least as many old movie theater . <eos>	[4.987523078918457, 5.919162750244141, 0.10546546429395676, 5.128190994262695, 3.8668975830078125, 3.0185704231262207, 3.4846553802490234, 3.27067232131958, 5.925933361053467, 4.5945539474487305, 6.998401641845703, 6.133167743682861, 0.18310463428497314, 5.145455360412598, 3.748516082763672, 3.4120562076568604, 4.240043640136719, 3.3205463886260986, 3.6032352447509766, 5.175225257873535, 4.0715789794921875, 5.5899338722229, 2.906795657509065e-07]	[13.145304679870605, 11.048965454101562, 0.015621185302734375, 8.403973579406738, 6.349102020263672, 9.067667007446289, 7.149378776550293, 2.4910993576049805, 10.161397933959961, 2.754253387451172, 9.49758529663086, 7.543290138244629, 0.04080009460449219, 8.097221374511719, 5.77530574798584, 2.2459239959716797, 2.9261016845703125, 2.653411865234375, 7.533205986022949, 7.675718307495117, 6.822806358337402, 4.928561210632324, -0.0]	Renee ca n't explore one brown movie theater and Gary 's colleague ca n't explore at least as many old . <eos>	[4.992203712463379, 5.924651622772217, 0.10449519008398056, 5.126532554626465, 3.8673057556152344, 3.0175788402557373, 5.495637893676758, 3.6219801902770996, 3.53671932220459, 6.178746223449707, 4.677371501922607, 7.018172264099121, 6.070925712585449, 0.21820379793643951, 5.182349681854248, 3.7408671379089355, 3.4107823371887207, 4.271331787109375, 3.291698932647705, 3.6904375553131104, 5.367304801940918, 2.982810087814869e-07]	[13.13467025756836, 11.069154739379883, 0.015470504760742188, 8.407647132873535, 6.349394798278809, 13.291833877563477, 9.277763366699219, 7.430328369140625, 2.5304794311523438, 10.506428718566895, 2.3399534225463867, 9.827093124389648, 7.603975296020508, 0.05052947998046875, 8.505494117736816, 5.740452766418457, 2.2078418731689453, 2.888455390930176, 2.509519577026367, 7.496156692504883, 6.2319183349609375, -0.0]
